ID	label_en	synonym_en	label_ja	synonym_ja	notification_number	Mondo
2200099	[Shoman] Primitive neuroectodermal tumour of the central nervous system	Central nervous system primitive neuroectodermal tumor	[小慢] 未分化神経外胚葉性腫瘍（中枢性のものに限る。）	中枢神経系原始神経外胚葉性腫瘍	66	MONDO:0000640
2200101	[Shoman] Atypical teratoid, rhabdoid tumour	AT/RT	[小慢] 異型奇形腫瘍／ラブドイド腫瘍	非定型奇形腫様ラブドイド腫瘍|AT/RT	49	MONDO:0020560
2200102	[Shoman] Malignant neurinoma		[小慢] 悪性神経鞘腫	悪性末梢神経鞘腫瘍	48	MONDO:0017827
2200103	[Shoman] Neurinoma		[小慢] 神経鞘腫		55	MONDO:0002546
2200104	[Shoman] Teratoma of the central nervous system		[小慢] 奇形腫		51	MONDO:0002718
2200108	[Shoman] Intracranial germ cell tumour		[小慢] 頭蓋内胚細胞腫瘍		61	MONDO:0004218
2200109	[Shoman] Other tumours of the central nervous system		[小慢] 70から90までに掲げるもののほか、中枢神経系腫瘍		69	
2200110	[Shoman] Congenital nephrotic syndrome of the Finnish type	CNF	[小慢] フィンランド型先天性ネフローゼ症候群		26	MONDO:0009732
2200111	[Shoman] Diffuse mesangial sclerosis	DMS	[小慢] びまん性メサンギウム硬化症		25	MONDO:0019654
2200112	[Shoman] Minimal change nephrotic syndrome	MCNS	[小慢] 微小変化型ネフローゼ症候群		24	MONDO:0006835
2200113	[Shoman] Focal segmental glomerulosclerosis	FSGS	[小慢] 巣状分節性糸球体硬化症		23	MONDO:0005363
2200114	[Shoman] Membranous nephropathy		[小慢] 膜性腎症		27	MONDO:0005376
2200115	[Shoman] Other nephrotic syndromes		[小慢] 1から6までに掲げるもののほか、ネフローゼ症候群		28	
2200121	[Shoman] IgA nephropathy		[小慢] IgA腎症		32	MONDO:0005342
2200122	[Shoman] Mesangial proliferative glomerulonephritis	MesPGN	[小慢] メサンギウム増殖性糸球体腎炎		43	MONDO:0003139
2200123	[Shoman] Membranoproliferative glomerulonephritis	MPGN	[小慢] 膜性増殖性糸球体腎炎		41	MONDO:0002461|MONDO:0018904
2200124	[Shoman] Henoch-Schonlein purpura nephritis	Henoch-Schönlein purpura nephritis|HSPN	[小慢] 紫斑病性腎炎		37	
2200125	[Shoman] Goodpasture syndrome	Anti-glomerular basement membrane disease|Anti-GBM Nephritis	[小慢] 抗糸球体基底膜腎炎	グッドパスチャー症候群|Goodpasture症候群	36	MONDO:0009303
2200126	[Shoman] Alport syndrome	Alport's syndrome|AS	[小慢] 慢性糸球体腎炎（アルポート 症候群によるものに限る。）		42	MONDO:0018965
2200127	[Shoman] Epstein syndrome		[小慢] エプスタイン症候群	Epstein症候群	33	MONDO:0007954
2200128	[Shoman] Lupus nephritis	LN	[小慢] ループス腎炎		45	MONDO:0005556
2200129	[Shoman] Rapidly progressive glomerulonephritis due to microscopic poly-angitis	Rapidly progressive glomerulonephritis due to MPA	[小慢] 急速進行性糸球体腎炎（顕微鏡的多発血管炎によるものに限る。）		34	
2200130	[Shoman] Rapidly progressive glomerulonephritis due to granulomatosis with polyangiitis	Rapidly progressive glomerulonephritis due to GPA	[小慢] 急速進行性糸球体腎炎（多発血管炎性肉芽腫症によるものに限る。）		35	
2200131	[Shoman] Atypical hemolytic uremic syndrome	Atypical haemolytic uraemic syndrome|aHUS	[小慢] 非典型溶血性尿毒症症候群		39	MONDO:0016244
2200132	[Shoman] Nail-patella syndrome		[小慢] ネイル・パテラ症候群	爪膝蓋骨症候群|Nail-Patella症候群	38	MONDO:0008061
2200133	[Shoman] Glomerulopathy with fibronectin deposits, fibronectin nephropathy		[小慢] フィブロネクチン腎症		40	MONDO:0007671
2200134	[Shoman] Lipoprotein glomerulopathy	LPG	[小慢] リポタンパク糸球体症		44	MONDO:0012725
2200135	[Shoman] Other chronic glomerulonephritis		[小慢] 8から21までに掲げるもののほか、慢性糸球体腎炎		46	
2200136	[Shoman] Tubulointerstitial nephritis	TIN	[小慢] 慢性尿細管間質性腎炎		50	MONDO:0001085
2200137	[Shoman] Chronic pyelonephritis		[小慢] 慢性腎盂腎炎		47	MONDO:0001110
2200138	[Shoman] Amyloid nephropathy		[小慢] アミロイド腎		1	MONDO:0019065|MONDO:0007099
2200139	[Shoman] Familial juvenile hyperuricemic nephropathy	FJHN|Familial juvenile hyperuricaemic nephropathy	[小慢] 家族性若年性高尿酸血症性腎症		3	MONDO:0000608
2200140	[Shoman] Nephronophthisis	NPH|Juvenile nephronophthisis	[小慢] ネフロン癆		29	MONDO:0009728|MONDO:0019005
2200141	[Shoman] Renovascular hypertension		[小慢] 腎血管性高血圧		14	MONDO:0001105|MONDO:0006947
2200142	[Shoman] Renal vein thrombosis	RVT	[小慢] 腎静脈血栓症		15	
2200143	[Shoman] Renal arteriovenous fistula		[小慢] 腎動静脈瘻		16	
2200144	[Shoman] Renal tubular acidosis	RTA	[小慢] 尿細管性アシドーシス		18	MONDO:0001909
2200145	[Shoman] Gitelman syndrome	GS	[小慢] ギッテルマン症候群	Gitelman症候群	4	MONDO:0009904
2200146	[Shoman] Bartter syndrome	BS	[小慢] バーター症候群	Bartter症候群	30	MONDO:0015231
2200147	[Shoman] Nephro- and urolithiasis	Nephro-urolithiasis	[小慢] 腎尿管結石		17	
2200148	[Shoman] Chronic renal failure due to renal tumour		[小慢] 慢性腎不全（腎腫瘍によるものに限る。）		49	
2200149	[Shoman] Chronic renal failure due to acute tubular necrosis or renal ischemias	Chronic renal failure due to acute tubular necrosis or renal ischaemias	[小慢] 慢性腎不全（急性尿細管壊死または腎虚血によるものに限る。）		48	
2200152	[Shoman] Polycystic kidney disease	PKD|Polycystic kidney	[小慢] 多発性嚢胞腎		10	MONDO:0020642
2200155	[Shoman] Hypoplastic kidney		[小慢] 低形成腎		11	MONDO:0019637
2200156	[Shoman] Renal aplasia		[小慢] 腎無形成		8	MONDO:0018470
2200157	[Shoman] Potter syndrome	Potter sequence	[小慢] ポッター症候群	Potter症候群	12	MONDO:0001558
2200158	[Shoman] Multicystic dysplastic kidney	MCDK	[小慢] 多嚢胞性異形成腎		9	MONDO:0015988
2200159	[Shoman] Oligomeganephronia		[小慢] 寡巨大糸球体症		6	MONDO:0016407
2200160	[Shoman] Other renal malformations		[小慢] 38から44までに掲げるもののほか、腎奇形		13	
2200178	[Shoman] Obstructive uropathy		[小慢] 閉塞性尿路疾患		19	MONDO:0003330
2200179	[Shoman] Vesicoureteral reflux	VUR	[小慢] 膀胱尿管逆流		20	MONDO:0006007
2200180	[Shoman] Other urinary tract malformations		[小慢] 46及び47に掲げるもののほか、尿路奇形		21	
2200186	[Shoman] Atrophic kidney		[小慢] 萎縮腎		2	
2200187	[Shoman] Fanconi syndrome		[小慢] ファンコーニ症候群	Fanconi症候群	31	MONDO:0001083
2200188	[Shoman] Lowe syndrome	Oculocerebrorenal syndrome of Lowe|OCRL	[小慢] ロウ症候群	Lowe症候群	51	MONDO:0010645
2200189	[Shoman] Airway obstruction and stenosis		[小慢] 気道狭窄		6	
2200197	[Shoman] Bronchial asthma		[小慢] 気管支喘息		5	MONDO:0010940
